# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-24 18:07:02 -05:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12092000 PUYALLUP RIVER NEAR ELECTRON, WA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 12092000
#    TS_ID       Parameter Description
#    150830      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	tz_cd	Flux	Letter
USGS	12092000	2021-02-24 15:15	PST	554	A
USGS	12092000	2021-02-24 15:30	PST	554	A
USGS	12092000	2021-02-24 15:45	PST	560	A
USGS	12092000	2021-02-24 16:00	PST	547	A
USGS	12092000	2021-02-24 16:15	PST	554	A
USGS	12092000	2021-02-24 16:30	PST	541	A
USGS	12092000	2021-02-24 16:45	PST	547	A
USGS	12092000	2021-02-24 17:00	PST	534	A
USGS	12092000	2021-02-24 17:15	PST	541	A
USGS	12092000	2021-02-24 17:30	PST	528	A
USGS	12092000	2021-02-24 17:45	PST	534	A
USGS	12092000	2021-02-24 18:00	PST	541	A
USGS	12092000	2021-02-24 18:15	PST	534	A
USGS	12092000	2021-02-24 18:30	PST	534	A
USGS	12092000	2021-02-24 18:45	PST	534	A
USGS	12092000	2021-02-24 19:00	PST	534	A
USGS	12092000	2021-02-24 19:15	PST	534	A
USGS	12092000	2021-02-24 19:30	PST	534	A
USGS	12092000	2021-02-24 19:45	PST	528	A
USGS	12092000	2021-02-24 20:00	PST	528	A
USGS	12092000	2021-02-24 20:15	PST	534	A
USGS	12092000	2021-02-24 20:30	PST	522	A
USGS	12092000	2021-02-24 20:45	PST	528	A
USGS	12092000	2021-02-24 21:00	PST	515	A
